Año;Aerolinea;Pasajeros;Origen_final;Destino_final;Mes;Ruta;Demanda_pred;Precio_final;Ingreso_estimado
2024;LATAM AIRLINES CHILE;10151;SANTIAGO;COPIAPO;11;SANTIAGO-COPIAPO;8660.592;112.0578056;749359.982
2024;LATAM AIRLINES CHILE;6505;SANTIAGO;IQUIQUE;9;SANTIAGO-IQUIQUE;8641.972;78.01301342;420667.8482
2024;LATAM AIRLINES CHILE;4480;SANTIAGO;LA SERENA;7;SANTIAGO-LA SERENA;5584.8955;126.8612307;334290.7989
2024;LATAM AIRLINES CHILE;29537;SANTIAGO;PUERTO MONTT;2;SANTIAGO-PUERTO MONTT;22421.639;54.09935648;1108832.936
2024;LATAM AIRLINES CHILE;11402;SANTIAGO;PUNTA ARENAS;2;SANTIAGO-PUNTA ARENAS;10593.265;95.02241417;834077.0218
2024;LATAM AIRLINES CHILE;1402;SANTIAGO;TEMUCO;1;SANTIAGO-TEMUCO;2490.237;130.4156417;131755.5843
2024;LATAM AIRLINES CHILE;2534;SANTIAGO;OSORNO;9;SANTIAGO-OSORNO;4992.498;126.8504433;256101.1495
2024;LATAM AIRLINES CHILE;1393;TEMUCO;SANTIAGO;10;TEMUCO-SANTIAGO;2439.1711;70.9664963;54478.20492
2024;LATAM AIRLINES CHILE;2635;OSORNO;SANTIAGO;7;OSORNO-SANTIAGO;5177.8965;50.26573223;100565.2682
2024;LATAM AIRLINES CHILE;4027;ANTOFAGASTA;LA SERENA;3;ANTOFAGASTA-LA SERENA;5223.502;149.3233705;511233.3934
2024;LATAM AIRLINES CHILE;21137;ANTOFAGASTA;SANTIAGO;3;ANTOFAGASTA-SANTIAGO;18546.395;55.88500275;936442.9729
2024;LATAM AIRLINES CHILE;3196;BALMACEDA;PUERTO MONTT;7;BALMACEDA-PUERTO MONTT;3637.7456;67.05709611;152895.1604
2024;LATAM AIRLINES CHILE;1261;BALMACEDA;SANTIAGO;2;BALMACEDA-SANTIAGO;2099.342;127.5451242;87118.97077
2024;LATAM AIRLINES CHILE;13963;CONCEPCION;SANTIAGO;11;CONCEPCION-SANTIAGO;13447.276;75.68684804;810271.9309
2024;LATAM AIRLINES CHILE;3338;CALAMA;LA SERENA;11;CALAMA-LA SERENA;3998.9214;87.65329783;192133.7868
2024;LATAM AIRLINES CHILE;19838;CALAMA;SANTIAGO;8;CALAMA-SANTIAGO;17514.736;98.49821046;1652320.018
2024;LATAM AIRLINES CHILE;2289;COPIAPO;SANTIAGO;11;COPIAPO-SANTIAGO;6207.6304;76.64286593;153083.9948
2024;LATAM AIRLINES CHILE;9424;IQUIQUE;SANTIAGO;9;IQUIQUE-SANTIAGO;10563.545;76.77576065;481582.6819
